team_id,team_name,team_label
353,Asia XI,AX
354,Cheshire,C
355,Northerns Under-17s,NU
356,St Lucia Zouks,SLZ
357,Peshawar Panthers,PP
358,Middlesex,M
359,Netherlands Under-19s,NU
360,South Africa Women,SAW
361,Tasmania Under-19s,TU
362,Faisalabad,F
363,England Women,EW
364,Northamptonshire 2nd XI,N2X
365,Karachi Whites,KW
366,Brisbane Heat,BH
367,Karachi Kings,KK
368,Nittabuwa Ladies,NL
369,Nottinghamshire 2nd XI,N2X
370,Gujarat,G
371,New Zealand Under-19s,NZU
372,Scotland,S
373,Sussex,S
374,Trinbago Knight Riders,TKR
375,Malaysia,M
376,Nepal Women,NW
377,Durham,D
378,Transvaal,T
379,Sebastianites Cricket and Athletic Club,SCaAC
380,West Indies Women,WIW
381,KwaZulu-Natal,K
382,Kings XI Punjab,KXP
383,Goa,G
384,Yorkshire 2nd XI,Y2X
385,New Zealand A,NZA
386,Peshawar,P
387,Herefordshire,H
388,St. Thomas College,STC
389,Andhra,A
390,United Bank Limited,UBL
391,Badureliya Sports Club,BSC
392,Unicorns,U
393,Pune Warriors,PW
394,New Zealand Women,NZW
395,Border Under-15s,BU
396,Cornwall,C
397,Mid West Rhinos,MWR
398,Warriors,W
399,Australian Capital Territory,ACT
400,Delhi Daredevils,DD
401,Perth Scorchers,PS
402,Devon,D
403,South Western Districts,SWD
404,Worcestershire 2nd XI,W2X
405,Mpumalanga Under-15s,MU
406,Lahore Shalimar,LS
407,Worcestershire,W
408,Bangladesh A,BA
409,Saracens Sports Club,SSC
410,Gauteng Under-17s,GU
411,Pakistan Television,PT
412,KwaZulu-Natal Under-17s,KU
413,DS Senanayake College,DSC
414,St. Peters College,SPC
415,West Indies B,WIB
416,Mumbai,M
417,Cumberland,C
418,Lahore Whites,LW
419,Western Australia Second XI,WASX
420,Suffolk,S
421,Europeans (India),E(
422,KwaZulu-Natal Under-19s,KU
423,Sri Lanka Army Sports Club,SLASC
424,Free State,FS
425,South Western Districts Under-13s,SWDU
426,Canada Under-19s,CU
427,Cape Cobras,CC
428,Eastern Province,EP
429,Maharashtra,M
430,New South Wales Women,NSWW
431,Warwickshire Cricket Board,WCB
432,Bijapur Bulls,BB
433,State Bank of Pakistan,SBoP
434,Gauteng Under-15s,GU
435,Staffordshire,S
436,New South Wales Under-17s,NSWU
437,Delhi,D
438,Sri Lanka A,SLA
439,Tasmania,T
440,Uttar Pradesh Under-19s,UPU
441,Northerns Under-15s,NU
442,KwaZulu-Natal Inland Under-15s,KIU
443,Karachi Dolphins,KD
444,Northern Districts Women,NDW
445,Matara Sports Club,MSC
446,Marylebone Cricket Club Young Cricketers,MCCYC
447,Dolphins,D
448,Khulna Division,KD
449,Sylhet Division,SD
450,Zimbabwe Cricket Academy,ZCA
451,Penang,P
452,West Indies,WI
453,Multan Tigers,MT
454,Mpumalanga Under-17s,MU
455,Derbyshire 2nd XI,D2X
456,Islamabad Leopards,IL
457,Hong Kong Under-19s,HKU
458,Peshawar Cricket Association,PCA
