match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,batting_team,chasing_team,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
197,5,20,['2020-09-24'],239,283,283,field,239,283,2974,239,97,NA,NA,NA,NA
198,5,9,['2020-10-06'],533,423,533,bat,533,423,3291,533,57,NA,NA,NA,NA
199,5,9,['2020-10-18'],52,26,26,field,52,26,1788,TIE,NA,NA,NA,NA,NA
200,5,20,['2020-10-04'],239,534,239,bat,239,534,8034,534,NA,10,NA,NA,NA
201,5,9,['2020-10-03'],423,283,423,bat,423,283,2288,283,NA,8,NA,NA,NA
202,5,10,['2020-10-03'],403,52,52,field,403,52,2413,403,18,NA,NA,NA,NA
203,5,20,['2020-10-02'],26,534,26,bat,26,534,2354,26,7,NA,NA,NA,NA
204,5,20,['2020-10-18'],533,239,533,bat,533,239,2974,TIE,NA,NA,NA,NA,NA
205,5,20,['2020-10-22'],423,26,26,field,423,26,2870,26,NA,8,NA,NA,NA
206,5,20,['2020-10-05'],403,283,283,field,403,283,2801,403,59,NA,NA,NA,NA
207,5,10,['2020-10-26'],52,239,239,field,52,239,9246,239,NA,8,NA,NA,NA
208,5,10,['2020-10-23'],534,533,533,field,534,533,1698,533,NA,10,NA,NA,NA
209,5,20,['2020-10-17'],423,283,423,bat,423,283,8304,283,NA,7,NA,NA,NA
210,5,9,['2020-10-10'],52,239,52,bat,52,239,2485,52,2,NA,NA,NA,NA
211,5,20,['2020-10-27'],26,403,403,field,26,403,2954,26,88,NA,NA,NA,NA
212,5,20,['2020-10-10'],283,534,283,bat,283,534,2422,283,37,NA,NA,NA,NA
213,5,9,['2020-10-16'],52,533,52,bat,52,533,8310,533,NA,8,NA,NA,NA
214,5,10,['2020-09-27'],239,423,423,field,239,423,2926,423,NA,4,NA,NA,NA
215,5,20,['2020-10-13'],534,26,534,bat,534,26,2481,534,20,NA,NA,NA,NA
216,5,9,['2020-10-11'],403,533,403,bat,403,533,8310,533,NA,5,NA,NA,NA
217,5,20,['2020-11-01'],52,423,423,field,52,423,7261,52,60,NA,NA,NA,NA
218,5,10,['2020-10-15'],283,239,283,bat,283,239,2974,239,NA,8,NA,NA,NA
219,5,9,['2020-09-29'],26,403,403,field,26,403,3949,26,15,NA,NA,NA,NA
220,5,9,['2020-10-19'],534,423,534,bat,534,423,5203,423,NA,7,NA,NA,NA
221,5,20,['2020-09-21'],283,26,26,field,283,26,2288,283,10,NA,NA,NA,NA
222,5,20,['2020-10-31'],403,533,533,field,403,533,2419,533,NA,9,NA,NA,NA
223,5,20,['2020-10-29'],52,534,534,field,52,534,2365,534,NA,6,NA,NA,NA
224,5,9,['2020-10-30'],239,423,423,field,239,423,6482,423,NA,7,NA,NA,NA
225,5,10,['2020-10-04'],533,26,533,bat,533,26,1698,533,34,NA,NA,NA,NA
226,5,20,['2020-09-25'],403,534,534,field,403,534,2728,403,44,NA,NA,NA,NA
227,5,10,['2020-10-12'],283,52,283,bat,283,52,8304,283,82,NA,NA,NA,NA
228,5,9,['2020-10-25'],533,423,533,bat,533,423,6482,423,NA,8,NA,NA,NA
229,5,20,['2020-10-08'],26,239,26,bat,26,239,5482,26,69,NA,NA,NA,NA
230,5,20,['2020-10-14'],403,423,403,bat,403,423,8723,403,13,NA,NA,NA,NA
231,5,20,['2020-10-25'],283,534,283,bat,283,534,2365,534,NA,8,NA,NA,NA
232,5,9,['2020-09-26'],26,52,26,bat,26,52,2702,52,NA,7,NA,NA,NA
233,5,20,['2020-10-20'],403,239,403,bat,403,239,2237,239,NA,5,NA,NA,NA
234,5,20,['2020-09-28'],283,533,533,field,283,533,8304,TIE,NA,NA,NA,NA,NA
235,5,20,['2020-11-05'],533,403,403,field,533,403,2125,533,57,NA,NA,NA,NA
236,5,9,['2020-11-06'],283,26,26,field,283,26,2049,26,NA,6,NA,NA,NA
237,5,9,['2020-11-08'],403,26,403,bat,403,26,7861,403,17,NA,NA,NA,NA
238,5,20,['2020-11-10'],403,533,403,bat,403,533,1698,533,NA,5,NA,NA,NA
239,5,14,['2008-04-18'],283,52,283,field,52,283,1916,52,140,NA,NA,NA,NA
240,5,19,['2008-04-19'],239,534,534,bat,534,239,7421,534,33,NA,NA,NA,NA
241,5,33,['2008-04-19'],403,423,423,bat,423,403,4640,403,NA,9,NA,NA,NA
242,5,4,['2008-04-20'],533,283,533,bat,533,283,8084,283,NA,5,NA,NA,NA
243,5,15,['2008-04-20'],52,505,505,bat,505,52,7427,52,NA,5,NA,NA,NA
244,5,31,['2008-04-21'],423,239,239,bat,239,423,8034,423,NA,6,NA,NA,NA
245,5,21,['2008-04-22'],505,403,505,bat,505,403,2829,403,NA,9,NA,NA,NA
246,5,32,['2008-04-23'],534,533,533,field,534,533,7529,534,6,NA,NA,NA,NA
247,5,21,['2008-04-24'],505,423,423,field,505,423,2759,423,NA,3,NA,NA,NA
248,5,19,['2008-04-25'],239,533,533,field,239,533,4946,239,66,NA,NA,NA,NA
249,5,14,['2008-04-26'],283,423,423,field,283,423,8034,423,NA,7,NA,NA,NA
250,5,32,['2008-04-26'],534,52,52,bat,52,534,1935,534,NA,9,NA,NA,NA
251,5,27,['2008-04-27'],533,505,505,field,533,505,7504,505,NA,10,NA,NA,NA
252,5,19,['2008-04-27'],239,403,403,bat,403,239,7713,239,NA,4,NA,NA,NA
253,5,14,['2008-04-28'],283,534,534,bat,534,283,2235,534,13,NA,NA,NA,NA
254,5,15,['2008-04-29'],52,533,52,bat,52,533,4468,533,NA,7,NA,NA,NA
255,5,33,['2008-04-30'],403,283,283,field,403,283,7731,403,10,NA,NA,NA,NA
256,5,21,['2008-05-01'],505,239,239,field,505,239,7653,239,NA,7,NA,NA,NA
