match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
124,5,23,['2019-03-27'],69,479,479,field,9394,69,28,NA,NA,NA,NA
125,5,23,['2019-03-28'],359,336,359,field,2125,336,6,NA,NA,NA,NA
126,5,31,['2019-03-29'],103,60,60,bat,3949,103,NA,5,NA,NA,NA
127,5,1,['2019-03-30'],479,336,479,field,2148,479,NA,8,NA,NA,NA
128,5,1,['2019-03-30'],536,69,536,field,2728,TIE,NA,NA,NA,NA,NA
129,5,31,['2019-03-31'],103,359,359,field,5482,103,118,NA,NA,NA,NA
130,5,33,['2019-03-31'],531,60,60,field,2235,531,8,NA,NA,NA,NA
131,5,1,['2019-04-01'],479,536,536,field,5420,479,14,NA,NA,NA,NA
132,5,12,['2019-04-02'],60,359,60,field,2322,60,NA,7,NA,NA,NA
133,5,25,['2019-04-03'],336,531,531,field,2855,336,37,NA,NA,NA,NA
134,5,1,['2019-04-04'],536,103,103,field,5482,103,NA,5,NA,NA,NA
135,5,23,['2019-04-05'],359,69,69,field,9394,69,NA,5,NA,NA,NA
136,5,33,['2019-04-06'],531,479,531,bat,2391,531,22,NA,NA,NA,NA
137,5,31,['2019-04-06'],103,336,103,field,9283,336,40,NA,NA,NA,NA
138,5,23,['2019-04-07'],359,536,536,field,8933,536,NA,4,NA,NA,NA
139,5,12,['2019-04-07'],60,69,69,field,5898,69,NA,8,NA,NA,NA
140,5,1,['2019-04-08'],479,103,479,field,2974,479,NA,6,NA,NA,NA
141,5,33,['2019-04-09'],531,69,531,field,2287,531,NA,7,NA,NA,NA
142,5,25,['2019-04-10'],336,479,336,field,9370,336,NA,3,NA,NA,NA
143,5,12,['2019-04-11'],60,531,531,field,2235,531,NA,4,NA,NA,NA
144,5,23,['2019-04-12'],69,536,536,field,2237,536,NA,7,NA,NA,NA
145,5,25,['2019-04-13'],336,60,60,field,5203,60,NA,4,NA,NA,NA
146,5,1,['2019-04-13'],479,359,359,field,8304,359,NA,8,NA,NA,NA
147,5,23,['2019-04-14'],69,531,531,field,8473,531,NA,5,NA,NA,NA
148,5,31,['2019-04-14'],103,536,103,field,9383,536,39,NA,NA,NA,NA
149,5,25,['2019-04-15'],336,359,336,field,4634,336,NA,5,NA,NA,NA
150,5,1,['2019-04-16'],479,60,60,field,2079,479,12,NA,NA,NA,NA
151,5,31,['2019-04-17'],103,531,531,bat,8038,103,NA,6,NA,NA,NA
