team_id,team_name,team_label
588,Tasmania,T
589,Northamptonshire,N
590,Bahawalpur,B
591,Europeans (India),E(
592,KwaZulu-Natal Inland Under-13s,KIU
593,Ireland Under-15s,IU
594,Netherlands Women,NW
595,St Lucia Zouks,SLZ
596,Pakistan University Grants Commission,PUGC
597,Delhi Under-16s,DU
598,Zimbabwe Under-17s,ZU
599,Middlesex 2nd XI,M2X
